Code,ru

ITEM_GOURMET_HOOK,"Крюк гурмана"
ITEM_GOURMET_HOOK_DESC,"Цепляет вкус, удерживает аромат, притягивает аппетит!"

ITEM_MASTER_CHEFS_KNIFE,"Нож шеф-повара"
ITEM_MASTER_CHEFS_KNIFE_DESC,"Этот зачарованный кинжал отправил многих неуловимых преступников на тот свет.<br>Сам же он оказался в кухонном наборе Туча."

ITEM_CAST_IRON_SKILLET,"Чугунная сковорода"
ITEM_CAST_IRON_SKILLET_DESC,"Старая чугунная сковородка Туча для жарки котлет. Позволяет подбрасывать всё, что бы на ней не находилось.<br>Все потенциальные котлеты Вас боятся."



ITEM_BARREL,"Бочка"
ITEM_BARREL_DESC,"В ней можно что-то хранить."
